	Unnamed: 0	names	tikers	price	sector	p_e	p_bv	mean_eps	dolg_EBITDA	capitalization
0	0	MD Medical Group Investments PLC	MDMG	632,2	HealthCare	8.77	1.32	27.820000000000004	0.87	23.1
2	2	Globaltrans Investment PLC	GLTR	462,9	Industrials	4.71	1.93	61.82000000000001	0.6	97.9
5	5	Городские Инновационные Технологии	GRNT	0,45	Industrials	5.41	0.2	0.09	0.0	0.19
13	13	НМТП	NMTP	7,41	Industrials	2.85	2.45	1.5100000000000002	0.51	173.1
14	14	Объединенная авиастроительная корпорация	UNAC	0,54	Industrials	0.0	0.0	0.0	0.0	0.0
17	17	Сегежа	SGZH	7,99	Industrials	0.0	0.0	0.0	0.0	0.0
19	19	ТрансКонтейнер	TRCN	8595	Industrials	9.79	2.38	446.74	0.95	115.0
32	32	Детский Мир	DSKY	151,46	Consumer	10.2	-23.6	6.444	0.76	73.9
33	33	Красный Октябрь	KROT	426,5	Consumer	14.0	0.6	49.040000000000006	-0.09	4.91
35	35	М.Видео	MVID	709,9	Consumer	10.3	-2.53	33.34	0.96	93.2
42	42	Фармсинтез	LIFE	5,74	Consumer	0.0	0.0	0.0	0.0	0.0
43	43	En+ Group	ENPG	947,5	Materials	0.0	0.0	0.0	0.0	0.0
47	47	АЛРОСА	ALRS	115,68	Materials	9.9	2.46	9.922	0.74	621.0
48	48	АЛРОСА-Нюрба	ALNU	65400	Materials	0.0	0.0	0.0	0.0	0.0
52	52	Лензолото - привилегированные акции	LNZLP	4360	Materials	0.0	0.0	0.0	0.0	0.0
53	53	Магнитогорский металлургический комбинат	MAGN	63,7	Materials	8.53	1.39	4.906000000000001	-0.13	468.8
55	55	Мечел - Привилегированные акции	MTLRP	79,3	Materials	0.0	0.0	0.0	0.0	0.0
56	56	Нижнекамскнефтехим	NKNC	91,1	Materials	7.27	1.21	12.12	0.46	174.7
57	57	Нижнекамскнефтехим - акции привилегированные	NKNCP	78,08	Materials	0.0	0.0	0.0	0.0	0.0
58	58	НЛМК	NLMK	272,44	Materials	9.95	2.52	12.42	0.67	861.3
61	61	ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные	KZOSP	35,27	Materials	0.0	0.0	0.0	0.0	0.0
63	63	Распадская	RASP	239,86	Materials	5.49	1.0	19.94	-1.29	75.0
66	66	Русполимет	RUSP	,75	Materials	0.0	0.0	0.0	0.0	0.0
67	67	Северсталь	CHMF	1821	Materials	6.87	3.98	107.0	0.54	785.4
69	69	Селигдар - Акции привилегированные	SELGP	44,45	Materials	0.0	0.0	0.0	0.0	0.0
74	74	ЮУНК	UNKL	9490	Materials	0.0	0.0	0.0	0.0	0.0
78	78	МГТС - акции привилегированные	MGTSP	1944	Telecom	0.0	0.0	0.0	0.0	0.0
82	82	Ростелеком - Привилегированные акции	RTKMP	90	Telecom	0.0	0.0	0.0	0.0	0.0
84	84	Центральный Телеграф	CNTL	16,06	Telecom	1.63	1.2	3.47	0.0	3.69
85	85	Центральный Телеграф - акции привилегированные	CNTLP	,98	Telecom	0.0	0.0	0.0	0.0	0.0
86	86	QIWI	QIWI	778	Financial	10.8	4.5	64.36	-2.09	72.2
87	87	TCS Group	TCSG	4850,2	Financial	7.24	0.0	93.54	0.0	261.3
88	88	Банк Возрождение - акции привилегированные	VZRZP	257	Financial	0.0	0.0	0.0	0.0	0.0
89	89	Банк ВТБ	VTBR	0,05	Financial	5.53	0.0	0.008	0.0	1116.0
90	90	Банк Санкт-Петербург	BSPB	72,9	Financial	3.39	0.0	11.928	0.0	26.8
91	91	МКБ	CBOM	6,63	Financial	11.7	0.0	0.594	0.0	140.4
92	92	Московская Биржа	MOEX	190,06	Financial	11.1	2.48	7.768000000000001	-3.24	245.3
93	93	САФМАР	SFIN	466,6	Financial	5.95	0.87	53.540000000000006	0.0	54.7
94	94	Сбер Банк	SBER	307,48	Financial	6.78	0.0	27.48	0.0	5728.0
95	95	Сбер Банк - привилегированные акции	SBERP	288	Financial	0.0	0.0	0.0	0.0	0.0
97	97	Дагестанская энергосбытовая компания	DASB	0,08	Utilities	0.0	0.0	0.0	0.0	0.0
98	98	ДЭК	DVEC	0,8	Utilities	0.0	0.0	0.0	0.0	0.0
99	99	Интер РАО ЕЭС	IRAO	5,08	Utilities	6.43	0.97	0.516	-1.81	526.4
103	103	Ленэнерго	LSNG	5,93	Utilities	5.97	0.52	0.89	0.74	71.4
104	104	Ленэнерго - акции привилегированные	LSNGP	164,85	Utilities	0.0	0.0	0.0	0.0	0.0
105	105	Мосэнерго	MSNG	2,3	Utilities	9.36	0.28	0.348	0.65	89.8
107	107	МРСК Волги	MRKV	0,06	Utilities	4.11	0.42	0.02	0.54	16.1
114	114	Пермэнергосбыт	PMSB	150,3	Utilities	7.18	3.98	13.838	-0.89	7.04
115	115	Пермэнергосбыт - акции привилегированные	PMSBP	150	Utilities	0.0	0.0	0.0	0.0	0.0
117	117	Российские сети - акции привилегированные	RSTIP	2,07	Utilities	0.0	0.0	0.0	0.0	0.0
119	119	ТГК-1	TGKA	0,01	Utilities	6.22	0.42	0.0	0.73	49.7
122	122	ТГК-2 - акции привилегированные	TGKBP	0,01	Utilities	0.0	0.0	0.0	0.0	0.0
126	126	Юнипро	UPRO	2,86	Utilities	9.52	1.46	0.228	-0.1	175.3
127	127	Башнефть	BANE	1555	Energy	4.38	0.68	501.7	0.58	336.7
128	128	Башнефть - привилегированные акции	BANEP	1202	Energy	0.0	0.0	0.0	0.0	0.0
130	130	Газпром нефть	SIBN	367,2	Energy	4.98	1.01	51.9	0.65	1992.0
132	132	ЛУКОЙЛ	LKOH	6000,5	Energy	6.29	1.03	526.5799999999999	0.03	4028.0
136	136	Саратовский НПЗ - акции привилегированные	KRKNP	17040	Energy	0.0	0.0	0.0	0.0	0.0
137	137	Сургутнефтегаз	SNGS	35,65	Energy	14.7	0.35	6.33	-7.25	1558.0
138	138	Сургутнефтегаз - привилегированные акции	SNGSP	44,89	Energy	0.0	0.0	0.0	0.0	0.0
139	139	Татнефть	TATN	516,2	Energy	9.17	2.37	58.28	0.06	1763.0
140	140	Татнефть - привилегированные акции	TATNP	482,3	Energy	0.0	0.0	0.0	0.0	0.0
